iter	Passed	Remaining
858	5547	910
859	5552	903
860	5559	897
861	5564	890
862	5570	884
863	5576	877
864	5582	871
865	5589	864
866	5595	858
867	5600	851
868	5608	845
869	5613	838
870	5619	832
871	5626	825
872	5631	819
873	5637	812
874	5643	806
875	5649	799
876	5655	793
877	5660	786
878	5666	780
879	5672	773
880	5678	767
881	5684	760
882	5690	754
883	5696	747
884	5701	740
885	5707	734
886	5713	727
887	5720	721
888	5725	714
889	5730	708
890	5737	701
891	5743	695
892	5751	689
893	5756	682
894	5762	676
895	5769	669
896	5774	663
897	5780	656
898	5786	650
899	5792	643
900	5798	637
901	5804	630
902	5810	624
903	5817	617
904	5822	611
905	5827	604
906	5833	598
907	5838	591
908	5845	585
909	5851	578
910	5857	572
911	5863	565
912	5869	559
913	5875	552
914	5882	546
915	5887	539
916	5893	533
917	5899	527
918	5905	520
919	5911	514
920	5917	507
921	5922	501
922	5928	494
923	5934	488
924	5939	481
925	5948	475
926	5953	468
927	5959	462
928	5965	455
929	5970	449
930	5978	443
931	5983	436
932	5989	430
933	5995	423
934	6001	417
935	6009	410
936	6014	404
937	6019	397
938	6026	391
939	6031	385
940	6037	378
941	6043	372
942	6049	365
943	6055	359
944	6062	352
945	6068	346
946	6075	340
947	6081	333
948	6087	327
949	6093	320
950	6098	314
951	6105	307
952	6111	301
953	6116	294
954	6123	288
955	6128	282
956	6135	275
957	6141	269
958	6147	262
959	6153	256
960	6158	249
961	6164	243
962	6171	237
963	6177	230
964	6183	224
965	6189	217
966	6194	211
967	6202	205
968	6207	198
969	6212	192
970	6219	185
971	6225	179
972	6230	172
973	6237	166
974	6242	160
975	6248	153
976	6254	147
977	6259	140
978	6266	134
979	6272	128
980	6278	121
981	6285	115
982	6290	108
983	6296	102
984	6302	95
985	6307	89
986	6313	83
987	6320	76
988	6325	70
989	6332	63
990	6337	57
991	6343	51
992	6349	44
993	6354	38
994	6361	31
995	6367	25
996	6372	19
997	6378	12
998	6384	6
999	6390	0
